school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content
Abdülhamid Han Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-abdulhamid-han-ortaokulu
Akabe İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-akabe-ilkokulu
Akabe İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-akabe-imam-hatip-ortaokulu
Akçesme İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-akcesme-ilkokulu
Akif Paşa İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-akif-pasa-ilkokulu
Alaeddin Keykubad İmam Hatip Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-alaeddin-keykubad-imam-hatip-ortaokulu
Aliye-Hüseyin Tekbaş İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-aliye-huseyin-tekbas-ilkokulu
Aynur Kasabalı İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-aynur-kasabali-ilkokulu
Ayşe Hüseyin Özkan İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-ayse-huseyin-ozkan-ilkokulu
Ayşe Hüseyin Özkan İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-ayse-huseyin-ozkan-imam-hatip-ortaokulu
Ayşe-Hüseyin Özkan Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-ayse-huseyin-ozkan-ortaokulu
Birol Polat İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-birol-polat-ilkokulu
Bozkırlılar Vakfı İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-bozkirlilar-vakfi-imam-hatip-ortaokulu
Bozkırlılar Vakfı Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-bozkirlilar-vakfi-kiz-anadolu-imam-hatip-lisesi
Büyük Sinan Mehmet Fatma Dalan İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-buyuk-sinan-mehmet-fatma-dalan-ilkokulu
Çatalhüyük Anadolu Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-catalhuyuk-anadolu-lisesi
Çatalhüyük Melikşah İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-catalhuyuk-meliksah-ilkokulu
Çatalhüyük Münise Lütfi Onat İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-catalhuyuk-munise-lutfi-onat-ilkokulu
Celaleddin Karatay Tarım Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-celaleddin-karatay-tarim-mesleki-ve-teknik-anadolu-lisesi
Cemil Keleşoğlu Anadolu Lisesi,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-cemil-kelesoglu-anadolu-lisesi
Cengiz Topel İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-cengiz-topel-ilkokulu
Çumralıoğlu Vakfı Anadolu İmam Hatip Lisesi,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-cumralioglu-vakfi-anadolu-imam-hatip-lisesi
Doktor Sedat Yüksel İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-doktor-sedat-yuksel-ilkokulu
Dr.Ali Rıza Bahadır Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-dr-ali-riza-bahadir-kiz-anadolu-imam-hatip-lisesi
Fetihkent İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-fetihkent-imam-hatip-ortaokulu
Gevher Nesibe Hatun İmam Hatip Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-gevher-nesibe-hatun-imam-hatip-ortaokulu
GÖÇÜ İLKOKULU,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-gocu-ilkokulu
Göçü Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-gocu-ortaokulu
Hacı Sadık İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-haci-sadik-ilkokulu
Hacı Yusuf Mescit Ahmet Haşhaş İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-haci-yusuf-mescit-ahmet-hashas-ilkokulu
Hacıveyiszade Anadolu İmam Hatip Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-haciveyiszade-anadolu-imam-hatip-lisesi
Hacıveyiszade Mahallesi Ahmet Haşhaş İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-haciveyiszade-mahallesi-ahmet-hashas-ilkokulu
Halil Bahçeci İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-halil-bahceci-ilkokulu
Hamzaoğlu İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-hamzaoglu-imam-hatip-ortaokulu
Hasan Ali Yücel İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-hasan-ali-yucel-ilkokulu
Hayıroğlu İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-hayiroglu-ilkokulu
Hayıroğlu İmam Hatip Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-hayiroglu-imam-hatip-ortaokulu
Hediye-Mehmet Ali Uzman İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-hediye-mehmet-ali-uzman-ilkokulu
Hüseyin Sevim Köroğlu İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-huseyin-sevim-koroglu-ilkokulu
